date;count_1;count_2;count_3;count_4;amount_1;amount_2;amount_3;count_5;count_6;count_7;amount_4;type;response
04.03.2017;1;1;0;0;10.0;10.0;0.0;1;0.0;1;10.0;O;0
21.10.2016;1;1;0;0;1000.0;1000.0;0.0;1;0.0;1;1000.0;O;0
28.12.2016;3;1;1;1;1000.0;1000.0;0.0;1;0.0;3;1000.0;O;0
08.01.2017;2;2;6;0;1000.0;1000.0;0.0;1;0.0;1;400.0;O;1
27.11.2017;1;1;0;0;1000.0;1000.0;0.0;1;0.0;1;1000.0;O;0
15.02.2017;1;1;0;0;1000.2;39930.2;0.0;1;0.0;1;35196.6;O;0
21.07.2017;15;6;91;91;1000564.3426000001;1000564.3426000001;0.0;4;0.0;9;240564.3426;O;1
30.03.2017;147;27;89;89;1000909.01;391586.43;609322.5800000001;4;9.0;128;319222.4299999999;O;1
11.12.2016;31;16;72;72;100115.9036;99115.9036;1000.0;3;0.0;28;67798.5036;O;1
19.05.2017;160;34;90;90;1001574.39;920576.89;80997.5;4;0.0;138;678376.89;O;1
10.07.2017;19;9;9;9;1002714.98;1002714.98;0.0;1;0.0;12;51714.979999999996;O;0
18.12.2016;109;16;78;59;1003117.9;723117.9;280000.0;4;5.0;93;125917.9;F;0
23.06.2017;10;4;10;3;1004090.84;1004090.84;0.0;2;0.0;4;9090.84;O;0
15.07.2017;94;20;91;91;1005741.3899999999;1000716.3899999999;5025.0;4;0.0;82;545716.3899999999;O;1
16.06.2017;207;32;91;91;1006226.23;495170.23;511056.0;4;12.0;178;274970.23;O;0
06.05.2017;50;7;89;88;100717.45;78165.45;22552.0;3;4.0;38;56165.44999999999;O;1
28.09.2017;237;28;100;92;1008187.14;790667.3200000001;217519.81999999995;5;3.0;219;369138.93999999994;CC;0
13.03.2017;57;12;90;87;100869.29000000001;48069.29;52800.00000000001;4;14.0;40;46969.28999999999;O;1
10.08.2017;8;6;80;80;100925.59;40925.59;60000.0;3;2.0;5;40925.59;O;0
18.08.2017;131;26;91;91;1009378.39;992379.39;16999.0;4;0.0;116;548479.3899999999;A;1
25.12.2016;12;4;25;1;10096.0;7086.0;3010.0;1;0.0;5;886.0;O;0
19.01.2017;117;25;86;86;101031.91999999998;86332.91999999998;14699.0;4;2.0;114;86332.91999999998;O;0
17.10.2016;483;36;92;92;1010379.2126;982620.2126;27759.0;4;0.0;448;689820.2126000001;O;1
26.12.2016;54;19;82;82;101138.83;44138.83;57000.0;4;3.0;49;42638.83;O;1
02.07.2017;135;12;92;92;101383.82999999999;101383.82999999999;0.0;4;0.0;133;87423.82999999999;O;1
04.03.2017;9;3;13;11;1014070.81;1014070.81;0.0;1;0.0;2;12970.81;O;0
