iter	Accuracy	Logloss	F1
0	0.8265993266	0.6827108119	0.7405541562
1	0.8316498316	0.6744066057	0.756097561
2	0.8316498316	0.6657909878	0.756097561
3	0.8333333333	0.6571429652	0.7567567568
4	0.8333333333	0.6491291829	0.7567567568
5	0.8316498316	0.6441306541	0.7619047619
6	0.82996633	0.6362433499	0.7612293144
7	0.82996633	0.6288837967	0.7600950119
8	0.82996633	0.6227599649	0.757793765
9	0.82996633	0.6154876631	0.757793765
10	0.82996633	0.6090657137	0.757793765
11	0.82996633	0.6025522912	0.757793765
12	0.8333333333	0.5972409781	0.7637231504
13	0.8333333333	0.5917693921	0.7637231504
14	0.8282828283	0.5852062812	0.7559808612
15	0.835016835	0.5799928889	0.7632850242
16	0.8333333333	0.5747028298	0.7625899281
17	0.8367003367	0.5713737559	0.76849642
18	0.8282828283	0.5661351824	0.7594339623
19	0.8265993266	0.5610475993	0.7553444181
20	0.8265993266	0.5556544495	0.7553444181
21	0.8265993266	0.5512579085	0.7553444181
22	0.8282828283	0.5466217347	0.7571428571
23	0.8265993266	0.5420488598	0.754176611
24	0.8265993266	0.5381682693	0.754176611
25	0.8282828283	0.5340833719	0.7559808612
26	0.8265993266	0.5313389023	0.754176611
27	0.82996633	0.5290134566	0.7600950119
28	0.8282828283	0.5259182955	0.7582938389
29	0.82996633	0.5217599869	0.7600950119
30	0.82996633	0.5185484254	0.7600950119
31	0.82996633	0.5151767486	0.7600950119
32	0.8316498316	0.5124805975	0.7630331754
33	0.82996633	0.5106645886	0.7612293144
34	0.8316498316	0.5072810998	0.7630331754
35	0.82996633	0.5038380461	0.7600950119
36	0.82996633	0.5006652538	0.7600950119
37	0.82996633	0.4990975521	0.7612293144
38	0.82996633	0.4963946104	0.7612293144
39	0.8282828283	0.4937704514	0.7594339623
40	0.8282828283	0.4916309836	0.7594339623
41	0.8282828283	0.4892416381	0.7594339623
42	0.8265993266	0.4874274316	0.7576470588
43	0.82996633	0.4868944527	0.7612293144
44	0.8282828283	0.4838767504	0.7582938389
45	0.8282828283	0.4817803197	0.7582938389
46	0.8282828283	0.4797137145	0.7582938389
47	0.82996633	0.4775883482	0.7600950119
48	0.8282828283	0.4748328087	0.7571428571
49	0.82996633	0.4723503482	0.7589498807
50	0.82996633	0.4705860138	0.7589498807
51	0.82996633	0.4689300683	0.7600950119
52	0.82996633	0.4669903222	0.7600950119
53	0.82996633	0.4648377559	0.7589498807
54	0.8282828283	0.4642041312	0.7559808612
55	0.8265993266	0.4620607684	0.7529976019
56	0.8265993266	0.4603587777	0.7529976019
57	0.8282828283	0.4582147294	0.7559808612
58	0.8265993266	0.4576889308	0.7529976019
59	0.8265993266	0.4569613359	0.7529976019
60	0.8282828283	0.4550219733	0.7548076923
61	0.8265993266	0.4541029217	0.7529976019
62	0.8282828283	0.4535103042	0.7548076923
63	0.8282828283	0.452037142	0.7548076923
64	0.8282828283	0.4504479832	0.7548076923
65	0.8282828283	0.4488244727	0.7548076923
